class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
116501.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
232021.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3201.0,3194.0,714
347541.0,1508.0,215.0,1117.0,2017.0,627.0,76.0,20.0,34.0,0,3194.0,714
463061.0,1508.0,215.0,1117.0,2017.0,627.0,76.0,20.0,34.0,90.0,3193.0,608
115520,463061.0,1508.0,215.0,1117.0,2017.0,627.0,76.0,54.0,1977.0,1477.0,652
231040,463061.0,1508.0,215.0,1117.0,624.0,85.0,30.0,34.0,0,1477.0,652
346560,463061.0,1508.0,215.0,1117.0,624.0,85.0,30.0,34.0,-2.0,1476.0,631
462080,463061.0,1508.0,215.0,1117.0,624.0,85.0,30.0,34.0,-2.0,1476.0,631
115520,462080,463061.0,1508.0,215.0,482.0,139.0,43.0,33.0,0,1787.0,643
231040,462080,463061.0,1508.0,215.0,482.0,139.0,43.0,33.0,-5.0,1787.0,638
346560,462080,463061.0,1508.0,215.0,482.0,139.0,43.0,33.0,-5.0,1787.0,638
462080,462080,463061.0,1508.0,215.0,477.0,139.0,43.0,33.0,0,1787.0,638
